client_id,nom,poblacio,lat,lon,palets,finestra_inici,finestra_fi,geo_status,ZonaTransp,zona_nom
0,DDI Mollet,Mollet del Vallès,41.5444,2.2105,0.0,00:00:00,23:59:59,DEPOT_MANUAL,DEPOT,DEPOT
9100759429,BAR CAMP DE TIR,GURB,41.973811,2.271635,0.13,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100058,MANLLEU
9100752860,SAZON DE LOS APOLOS,VIC,41.924354,2.250692,0.3,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100055,ESTADI
9100746500,RUKU RESTAURANT,VIC,41.929322,2.256373,0.42,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100069,VIC
9100745910,ENTREPA I PA,VIC,41.921807,2.256738,0.6,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100055,ESTADI
9100740503,BAR ÑAM LLODO,VIC,41.920584,2.250764,0.15,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100069,VIC
9100727009,Vacanal Jubany - Hamburgueseria,VIC,41.930535,2.255095,0.4,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100053,CENTRE
9100700207,CA LA MEI,VIC,41.931187,2.254244,0.43,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100053,CENTRE
9100684868,AURIAL PADEL,VIC,41.942746,2.251518,0.44,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100050,AFORES
9100610240,BAR TAVERNA D'PAS,VIC,41.935702,2.259921,0.33,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100055,ESTADI
9100579824,"PULIT, S.A",VIC,41.932992,2.261336,0.12,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100050,AFORES
9100564797,CASINO DE VIC,VIC,41.930045,2.253202,0.91,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100053,CENTRE
9100517701,CLUB BASQUET VIC,VIC,41.9375,2.246,1.02,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100050,AFORES
9100397795,PADEL OSONA GURB,GURB,41.939926,2.238415,0.47,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100050,AFORES
9100389125,ALOE,VIC,41.924275,2.260045,0.13,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100055,ESTADI
9100374429,LA TAVERNA D'EN NORTON,VIC,41.929996,2.255261,0.39,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100053,CENTRE
9100374304,BAR PRIEGO,VIC,41.9211,2.2498,0.85,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100055,ESTADI
9100324575,BAR SOL NOU,VIC,41.925199,2.253796,0.85,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100055,ESTADI
9100158925,VINS I BEGUDES REMEI,VIC,41.920984,2.251159,0.25,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100055,ESTADI
9100134828,EL CALIU RESTAURANT (VIC),VIC,41.929408,2.253559,1.55,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100053,CENTRE
9100058850,BAR LA PISTA,VIC,41.927242,2.255694,0.61,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100055,ESTADI
9100058727,SNACK (VIC),VIC,41.930408,2.253817,1.45,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100053,CENTRE
9100058476,GUSTUM AREAS 2 (GIRONA-LLEIDA),GURB,41.933278,2.193306,0.4,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100050,AFORES
9100058446,GUSTUM AREAS 1 (LLEIDA-GIRONA),GURB,41.93425,2.194306,0.45,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100050,AFORES
136675,MGA GP VIC,VIC,41.939354,2.254115,0.01,08:00:00,18:00:00,MANUAL_REVIEWED,DD13100050,AFORES
